arm	rep	pair	P	note
feedback	74	A	NA	invariant
feedback	74	ctrl	0.79134241251497	
trait2gen	74	A	NA	invariant
trait2gen	74	ctrl	0.362665093272385	
gen2trait	74	A	NA	invariant
gen2trait	74	ctrl	0.97066661393511	
null	74	A	NA	invariant
null	74	ctrl	0.279560528980162	
feedback	75	A	0.0765918803171592	
feedback	75	ctrl	0.978919401295088	
trait2gen	75	A	0.365323185719191	
trait2gen	75	ctrl	0.603252987144087	
gen2trait	75	A	0.0113738677497995	
gen2trait	75	ctrl	0.466636983214303	
null	75	A	0.472911073652631	
null	75	ctrl	0.921179462170338	
feedback	76	A	NA	invariant
feedback	76	ctrl	0.597348465306987	
trait2gen	76	A	NA	invariant
trait2gen	76	ctrl	0.785226172257051	
gen2trait	76	A	NA	invariant
gen2trait	76	ctrl	0.48962841987115	
null	76	A	NA	invariant
null	76	ctrl	0.678659184261997	
feedback	77	A	NA	invariant
feedback	77	ctrl	NA	invariant
trait2gen	77	A	NA	invariant
trait2gen	77	ctrl	NA	invariant
gen2trait	77	A	NA	invariant
gen2trait	77	ctrl	NA	invariant
null	77	A	NA	invariant
null	77	ctrl	NA	invariant
feedback	78	A	0.271404501377099	
feedback	78	ctrl	0.566439706088574	
trait2gen	78	A	0.377058238615113	
trait2gen	78	ctrl	0.0388605372414668	
gen2trait	78	A	0.000110758769762609	
gen2trait	78	ctrl	0.514967859834302	
null	78	A	0.46847219857921	
null	78	ctrl	0.1597329350232	
feedback	79	A	NA	invariant
feedback	79	ctrl	0.906191969685641	
trait2gen	79	A	0.19776928359301	
trait2gen	79	ctrl	0.132049552050444	
gen2trait	79	A	0.0815808937513937	
gen2trait	79	ctrl	0.117899522677032	
null	79	A	0.881368685711911	
null	79	ctrl	0.0433984302298166	
feedback	80	A	NA	invariant
feedback	80	ctrl	NA	invariant
trait2gen	80	A	NA	invariant
trait2gen	80	ctrl	NA	invariant
gen2trait	80	A	0.047201583640672	
gen2trait	80	ctrl	NA	invariant
null	80	A	0.459176011690279	
null	80	ctrl	NA	invariant
feedback	81	A	0.000365746462654044	
feedback	81	ctrl	0.381808148777528	
trait2gen	81	A	0.216394970596167	
trait2gen	81	ctrl	0.888836800888997	
gen2trait	81	A	7.03145148406026e-05	
gen2trait	81	ctrl	0.803448955544949	
null	81	A	0.808908775568112	
null	81	ctrl	0.863005339212173	
feedback	82	A	5.14564399582165e-07	
feedback	82	ctrl	0.198173082911218	
trait2gen	82	A	0.199553148121067	
trait2gen	82	ctrl	0.85943126818758	
gen2trait	82	A	2.62385571050273e-05	
gen2trait	82	ctrl	0.105412495040134	
null	82	A	0.606538303311989	
null	82	ctrl	0.104742945984381	
feedback	83	A	1	
feedback	83	ctrl	0.919337623178873	
trait2gen	83	A	0.622145065098846	
trait2gen	83	ctrl	0.165175184728186	
gen2trait	83	A	0.000533064033958336	
gen2trait	83	ctrl	0.064844449829125	
null	83	A	0.327487874645365	
null	83	ctrl	0.00752191933548936	
feedback	84	A	6.82742760278697e-06	
feedback	84	ctrl	0.223627081198008	
trait2gen	84	A	0.00650874076962538	
trait2gen	84	ctrl	0.218903934344643	
gen2trait	84	A	0.000210963983240718	
gen2trait	84	ctrl	0.434310896972869	
null	84	A	0.213320324845125	
null	84	ctrl	0.768362771974682	
feedback	85	A	7.49443073003168e-08	
feedback	85	ctrl	0.0958476755568985	
trait2gen	85	A	0.0096412442393665	
trait2gen	85	ctrl	0.874741761866115	
gen2trait	85	A	0.0144228082809691	
gen2trait	85	ctrl	0.0770650652116635	
null	85	A	0.682178247627424	
null	85	ctrl	0.781676214896106	
feedback	86	A	0.000231136295249185	
feedback	86	ctrl	0.135716065693299	
trait2gen	86	A	0.292649572948392	
trait2gen	86	ctrl	0.0563270620438126	
gen2trait	86	A	0.00107133633101532	
gen2trait	86	ctrl	0.975623845680202	
null	86	A	0.778912719855891	
null	86	ctrl	0.589329296671388	
feedback	87	A	0.000149554901124251	
feedback	87	ctrl	0.166614185086224	
trait2gen	87	A	0.193000467158898	
trait2gen	87	ctrl	0.543956457696774	
gen2trait	87	A	0.0483281742875154	
gen2trait	87	ctrl	0.266438590659144	
null	87	A	0.164077325548742	
null	87	ctrl	0.250878391393912	
feedback	88	A	1.45135903829776e-10	
feedback	88	ctrl	0.361389912424269	
trait2gen	88	A	0.909743890938592	
trait2gen	88	ctrl	0.0873486894133712	
gen2trait	88	A	2.04112019438786e-08	
gen2trait	88	ctrl	0.342667039990668	
null	88	A	0.795391338470726	
null	88	ctrl	0.0558539377139555	
feedback	89	A	0.000612353230545554	
feedback	89	ctrl	0.735856293308437	
trait2gen	89	A	0.215323379682761	
trait2gen	89	ctrl	0.200552124893321	
gen2trait	89	A	0.00867456089243082	
gen2trait	89	ctrl	0.0276409888234976	
null	89	A	0.931450014337647	
null	89	ctrl	0.684352363278794	
feedback	90	A	0.951195905239173	
feedback	90	ctrl	0.445931301572795	
trait2gen	90	A	0.690355063082159	
trait2gen	90	ctrl	0.19261170678517	
gen2trait	90	A	0.320622908091934	
gen2trait	90	ctrl	0.568003852509153	
null	90	A	0.993830466217481	
null	90	ctrl	0.96735543136703	
feedback	91	A	0.0801717029957331	
feedback	91	ctrl	0.52035108400322	
trait2gen	91	A	0.218397433800085	
trait2gen	91	ctrl	0.728581028737508	
gen2trait	91	A	0.31479204497776	
gen2trait	91	ctrl	0.0821881798291224	
null	91	A	0.38762906443197	
null	91	ctrl	0.102860242123402	
feedback	92	A	NA	invariant
feedback	92	ctrl	0.082458000115288	
trait2gen	92	A	NA	invariant
trait2gen	92	ctrl	0.785725470045481	
gen2trait	92	A	NA	invariant
gen2trait	92	ctrl	0.436736582126656	
null	92	A	NA	invariant
null	92	ctrl	0.0699630593009417	
feedback	93	A	NA	invariant
feedback	93	ctrl	0.299047298359126	
trait2gen	93	A	NA	invariant
trait2gen	93	ctrl	0.706374098881246	
gen2trait	93	A	NA	invariant
gen2trait	93	ctrl	0.963776663474291	
null	93	A	NA	invariant
