tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
f1.0_r041	control	150	82	-216.246963676794	-216.872331464351	0.899203161301272	0.846241837445256	5.80219546602008e-06	0.163300491975579	2.50302873156476e-06	0.0849812930312787	1.25073557511382	0.535064602223236	ok
f1.0_r042	driver	150	104	-190.387609127352	-190.807729030061	0.898663002120103	1.1968749555507	3.93845973470564e-07	0.365772070434359	5.20170241344205e-08	0.095749076349446	0.840239805417411	0.656968042844495	ok
f1.0_r042	control	150	104	-190.10849214668	-191.019129817502	0.863611183004903	1.212672415964	0.12948137884448	0.324621015980212	1.24819790294868e-10	0.104706768885953	1.821275341643	0.40226762790165	ok
f1.0_r043	driver	150	20	-191.016371367567	-192.183318793086	0.981229408690675	1.37768084343117	0.322174832108165	1.17999191410658	2.85114399781452e-09	0.0632031908196656	2.33389485103766	0.311315806975006	ok
f1.0_r043	control	150	106	-228.098207469883	-228.226726595894	1.08182292299363	1.04759646544193	0.671761976899882	0.453436316758752	2.74749942552743e-09	0.104256295877142	0.257038252021971	0.879396742905806	ok
f1.0_r044	driver	150	105	-212.78754832493	-212.975463773807	1.41531864036764	0.859477879793948	0.917923605975686	0.294998613544056	0.156257159935619	4.23204659363741e-10	0.375830897753985	0.82868477049864	ok
f1.0_r044	control	150	5	-190.163458523757	-192.856288616273	0.94470842813225	0.712747953190794	0.221133915268997	0.633205549015842	0.000909629509869578	0.101868560196783	5.38566018503292	0.0676891016205697	ok
f1.0_r045	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r045	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r046	driver	150	89	-227.605770700535	-227.779443164641	0.918069342255447	0.930247186779723	0.334845550144955	0.187668947351833	1.13350662878148e-09	0.141893385628837	0.347344928211953	0.840572170132398	ok
f1.0_r046	control	150	110	-230.224364586556	-230.725599486812	0.743593432104575	1.00306200647552	0.114414974332108	0.32124481581978	5.13275428832935e-07	0.0905813513026534	1.00246980051242	0.605782117128397	ok
f1.0_r047	driver	150	115	-189.977679606488	-190.669063353486	0.862337612072275	1.18360120000269	3.27089251032477e-05	0.206288261891731	0.348313912006558	0.0539073770554782	1.38276749399535	0.500882494662799	ok
f1.0_r047	control	150	66	-173.797681337518	-174.133998117658	1.14009468391646	1.06188006297074	0.120961008767014	0.257182368629936	2.56409994121925e-11	0.0975039798213374	0.672633560279451	0.714396763261052	ok
f1.0_r048	driver	150	88	-234.277265674844	-236.086028684712	1.24569590519004	0.940349502500919	1.02474894541416	0.0986321636335399	1.19323720998014e-08	0.279403953245452	3.61752601973524	0.163856700613941	ok
f1.0_r048	control	150	66	-224.997056080419	-228.254897138288	1.41438869380153	0.820511625293949	1.00320908844983	7.13435141167258e-08	0.0572093836294524	0.131029019448673	6.51568211573806	0.0384713658765495	ok
f1.0_r049	driver	150	98	-206.824073508086	-208.345537379619	0.8002867959606	1.3147183679432	0.15723634379026	0.623105189852225	9.52902661265133e-10	0.10809190826112	3.04292774306606	0.218391955073687	ok
f1.0_r049	control	150	96	-206.814453300233	-207.17564452403	1.01075125819551	1.1864995043114	0.444322854476368	0.454661515076497	2.590771978931e-09	0.139633402631989	0.722382447592508	0.69684573223912	ok
f1.0_r050	driver	150	3	-162.218912671202	-156.75189198599	1.12415758090276	1.75919281190426e-06	0.232939590952039	0.769953887521563	0.0331363344212881	4.72695338008974e-07	-10.9340413704246	1	ok
