tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
n500_f3.0_r027	control	500	365	-106.37704973601	-106.458013602427	2.56232423399398	2.70629992306441	2.78740297295381e-08	0.165304364360015	5.81945501840667e-08	0.140306003219992	0.161927732833959	0.922227014208951	ok
n500_f3.0_r028	driver	500	473	-33.6889577538747	-40.4771881150029	1.14461056151137	3.11014923739401	5.41220990737695e-07	0.29907371180706	9.83024140876114e-07	0.0871945152789459	13.5764607222566	0.00112696132517495	ok
n500_f3.0_r028	control	500	323	-30.1689606091735	-30.6405423995144	3.08615535623619	2.81728047248147	0.0918758987603911	0.104557491567488	2.03614551403842e-09	0.0995728681831196	0.943163580681727	0.624014427216412	ok
n500_f3.0_r029	driver	500	477	-72.1749847506646	-85.6461513755605	0.284049654154277	2.95946420460729	0.297298693774825	0.280969135126572	4.63390617803083e-09	0.124379890898619	26.9423332497918	1.41106386358418e-06	ok
n500_f3.0_r029	control	500	382	-80.8085345496947	-82.18366342781	3.15688297490488	2.72896618353772	1.87005496816276e-09	0.241822079650926	1.64295679720843e-11	0.114387132808126	2.75025775623055	0.25280701241386	ok
n500_f3.0_r030	driver	500	469	-77.1713480392409	-82.4319483968748	1.43518653136866	2.88064411796192	1.45119391179966	2.00352315069032e-07	1.93441393557775e-07	0.180242138753626	10.5212007152679	0.00519218661393933	ok
n500_f3.0_r030	control	500	441	-74.8138365345433	-75.1665648097926	3.38803697347469	2.78802354911026	1.22854548525788	5.30590099919626e-06	4.82465268060201e-06	0.147723228387937	0.705456550498582	0.702768126929477	ok
n500_f3.0_r031	driver	500	479	-19.2138728610682	-23.7098071713563	1.26326152676732	2.96176788356512	8.25543327310624e-07	6.1747604614539e-06	3.44608974562325e-06	0.0672068353943854	8.99186862057626	0.0111542542106618	ok
n500_f3.0_r031	control	500	389	-48.8223333852945	-49.7143474548636	3.66730407780935	2.84225482190453	1.08985722558248	2.16122685419211e-09	1.43536817956007e-08	0.143053688716584	1.78402813913833	0.409829495846078	ok
n500_f3.0_r032	driver	500	472	-92.0241835024336	-98.07704640546	1.05704339773346	2.66556934604025	3.77121786819337e-06	1.17966990581157e-07	1.68954827962226e-07	0.0898908427604497	12.1057258060528	0.00235112132977189	ok
n500_f3.0_r032	control	500	382	-134.808354895511	-135.24304892764	2.8205720101916	2.5245444495571	2.02271758195688e-08	5.04999559157435e-08	1.10125821297035e-06	0.162944527150629	0.869388064257123	0.647462739570842	ok
n500_f3.0_r033	driver	500	477	-67.3930285826088	-76.3212517370256	0.76082859059622	3.13443530986185	0.249664150518225	0.688219826463459	1.13822956272128e-07	0.0874909293934571	17.8564463088336	0.000132593413364108	ok
n500_f3.0_r033	control	500	427	-101.421954179538	-103.206394769126	4.53174616349399	2.84829227209107	2.81790587398658	0.404434923030582	3.15634651649574e-08	0.187697339105954	3.56888117917717	0.167890954683218	ok
n500_f3.0_r034	driver	500	472	-9.79909069045564	-16.0912293259403	1.21274724110113	3.50008083967286	2.04116452137438e-07	0.632027734250626	0.151014480460781	0.108016009686547	12.5842772709693	0.00185079753001057	ok
n500_f3.0_r034	control	500	442	-1.75297140607189	-2.29351569218236	2.86303150614358	3.47766619688884	9.47531187906971e-08	0.751696981501092	7.12896018969636e-09	0.0744787738801576	1.08108857222094	0.582431156897482	ok
n500_f3.0_r035	driver	500	466	-64.5408990019025	-76.4418361483477	0.96586540212909	3.6153964679291	6.64837978155536e-06	1.37390654607958	4.36370787304288e-07	0.0890675788057257	23.8018742928903	6.78404418453601e-06	ok
n500_f3.0_r035	control	500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
n500_f3.0_r036	driver	500	472	-106.214862467573	-110.931542250002	1.54468385509964	2.68080549846497	1.46892207824174	0.0339587126061816	7.30172097517615e-09	0.144807471410286	9.43335956485865	0.00894482807510385	ok
n500_f3.0_r036	control	500	444	-105.486061868102	-106.162336420344	2.81542631021233	2.62176119214467	1.18133827605462	2.68258669308088e-07	6.68474635095722e-08	0.13558122834929	1.3525491044833	0.508507887532749	ok
